English,Överge,Syriac,Arabic
Agonize,,"ܬܘ݂ܫܢܸܩܠܹܗ   ,   ܐ݀ܬܿܛܲܪܲܦ","تعذيبْ , إضطهادْ "
Agony,,ܡܲܪܥܵܐ ܚܲܝܠܵܢܵܐ,ألمْ شديد
Agreement,,"ܐܲܘܝܘ݂ܬ݂ܵܐ  ,  ܣܘ݂ܙܓܵܪܵܐ  ,  ܥܲܗܕܵܐ  ,  ܩܵܘܠܵܐ  ,  ܘܲܥܕܵܐ","إتفاق , عَهِْد ,  وعْد"
Agriculture,,ܙܵܪܘܿܥܘ݂ܬ݂ܵܐ   ،   ܐܲܟܵܪܘ݂ܬ݂ܵܐ ,"زِراعة  ,  فِلاحة  ,  حِراثة "
Agriculturist,,"ܐܲܟܵܪܵܐ  ,  ܙܵܪܘܿܥܵܐ","مزارعْ  ,  فلاح"
Agrology,,ܝܘ݂ܠܦܵܢ ܥܲܦܪܵܐ   ،  ܡܲܠܠܘ݂ܬ݂ ܥܲܦܪܵܐ,عِلم التربة 
Agronomy,,ܡܲܚܵܪܘ݂ܬ݂ܵܐ ܙܪܘܿܥܬܵܢܵܝܬܵܐ  ,"هندسة زراعية  ,  علم الزراعة"
Ahead,,"ܩܕ݂ܵܡܵܐ  ,  ܠܩܕ݂ܵܡܵܐ","أمامْ  ,  قُدّامْ "
Aid,,"ܥܵܕܹܪ ، ܥܕ݂ܸܪܵܐ ، ܥܵܝܹܢ  ، ܥܝܵܢܵܐ ، ܡܥܵܝܹܢ ,  ܗܵܝܹܪ ، ܗܲܝܘܿܪܹܐ ، ܡܗܵܝܹܪ ","يعاون   ,   يساعد   ,  يعين "
Aim,,ܢܝ݂ܫܵܐ,"قَصْد , غَرْض , هدف"
Air,,ܗܵܘܵܐ  ،  ܦܵܘܚܵܐ  ،  ܐܵܐܲܪ,"هواء  ,  نسيم"
Airdrome,,ܒܹܝܬ݂ ܛܲܘܣܵܐ,"مَطار  ,  المطار"
Akin,,"ܚܸܙܡܵܐ  ,  ܐ݉ܚܝܵܢܵܐ","نسيب  ,  ذو قَرابة"
Alcohol,,ܫܲܟ݂ܪܵܐ,كُحول 
Algebra,,"ܝܘ݂ܠܦܲܢ ܓܘ݂ܒܵܪܵܐ   ,   ܡܘ݂ܠܵܝܵܐ",عِلْم الجبر
Alien,,"ܢܘ݂ܟ݂ܪܵܝܵܐ  ,  ܒܲܪܵܝܵܐ","أجنبي , غريب "
Alike,,"ܕܵܡܝܵܐ  ,  ܣ݀ܒ݂ܗܵܐ","شبيه  ,  نظير  ,  متشابه "
Alive,,"ܚܲܝܵܐ  ,  ܢܦܝ݂ܫܵܐ",حَيٌ 
Allege,,"ܦܘ݂ܪܕܸܫܠܹܗ ، ܓܠܹܐܠܹܗ   ,   ܐܲܩܪܲܚ   ,  ܓܠܲܚ","صَرّحَ , إدّعى "
Allegiance,,ܡܲܫܡܲܥܬ݂ܵܐ,طاعة 
Allegiance,,"ܗܘ݂ܝܡܵܢܵܐ  ,  ܬܲܣܦܝ݂ܬ݂ܵܐ","أمانة , وديعة "
Alleviation,,"ܡܲܩܠܵܡܬ݂ܵܐ  ,  ܡܲܒܣܵܡܬ݂ܵܐ  ,  ܡܫܵܦܲܪ݂ܬܵܐ",تلطيفْ 
Alley,,"ܥܵܠܘܿܠܵܐ  ,  ܫܩܵܩܵܐ",زُقاقْ 
Alliance,,"ܩܝܵܡܵܐ  ,  ܩܵܘܠܵܐ","معاهدة , إتفاقية "
Allow,,ܦܵܣܹܣ ، ܦܣܵܣܵܐ ، ܦܵܚܹܠ ، ܦܲܚܘܿܠܹܐ ،  ܫܵܒܹܩ ، ܫܒ݂ܵܩܵܐ ,"يسمح  ,  يجيز  ,  يأذن "
Allowable,,"ܚܘ݂ܠܵܐ  ,  ܦܣܝ݂ܣܵܐ  , ܚܠܝ݂ܠܵܐ","مُباحْ , مسموح "
Allowance,,ܦܣܵܣܵܐ   -   ܐܲܦܣܘ݂ܢܬܵܐ,"إذن , رخصة   -   راتب , معاشْ "
Ally,,ܡܐܲܘܝܵܢܵܐ,"مُحالِفْ  ,  مُعاهِدْ  ,  حليفْ"
Almost,,ܩܘ݂ܪܒܵܝܘ݂ܬ݂ܵܐ,تقريبا 
Alone,,ܚܕܵܝܘ݂ܬ݂ܵܐ,"وحدَهُ  ,  وحيد  ,  على إنفراد"
Alphabetic,,ܐܲܒܓܲܕ  ،   ܐܲܒܿܓܲܕܘ݂ܬ݂ܵܐ,"أبجدي  ,  أبجدية"
Alternation,,"ܫܘ݂ܚܠܵܦܵܐ  ,   ܫܘ݂ܓ݂ܢܵܝܵܐ    ܬܲܚܠܘ݂ܦܘ݂ܬ݂ܵܐ   ","تغيير   ,   تبديل"
Altercation,,ܗܪܵܒ݂ܵܐ  ،  ܕܘ݂ܪܵܫܵܐ,"مُشاحنة   ,   مشادة "
Altitude,,"ܪܵܡܘ݂ܬ݂ܵܐ  ,  ܥ݀ܠܵܝܘ݂ܬ݂ܵܐ","عِلو , إرتفاع "
Always,,"ܐܲܡܝ݂ܢ  ,  ܐܲܡܝ݂ܢܵܐܝ݂ܬ݂   ,  ܕܠܵܐ ܫܲܠܘܵܐ  ,  ܒܟ݂ܠܙܒܲܢ","دائما , على الدوام"
Amaze,,"ܕܘܿܡܸܪܠܹܗ  ,  ܬܘܿܡܸܗܠܹܗ","أدهشَ , أذهلَ"
Amazement,,"ܕܘ݂ܡܵܪܵܐ   ,  ܬܲܡܝ݂ܗܘ݂ܬ݂ܵܐ   ,   ܒܘ݂ܠܗܵܝܵܐ","دهشة , إنذهال "
Amazing,,"ܬܡܝ݂ܗܵܐ  ,  ܕܡܝ݂ܪܵܐ","مُدهش , عجيب "
Ambassador,,"ܐ݀ܝ݂ܙܓܲܕܵܐ  ,  ܡܫܲܕܪܵܐ","سفير   ,   رسول"
Ambition,,ܣܘ݂ܟܵܝܵܐ  ،  ܚܲܘܪܵܢܘ݂ܬ݂ܵܐ   ،  ܫܘ݂ܠܫܵܠܵܐ ،  ܡܸܬ݂ܒܲܠܩܵܢܘ݂ܬ݂ܵܐ ,طُموح
Ambitious ,,ܚܲܘܵܪܵܐ  ،  ܚܲܘܪܵܢܵܐ  ،  ܡܸܬ݂ܒܲܠܩܵܢܵܐ,"طَموح   ,  طَمّاح   ,   الطَّموح "
Ambulant,,ܟܵܪܘܿܟ݂ܵܐ   ،   ܚܵܕܘܿܪܵܐ,"مُتَنَقّل   ,   مُتَجَوّل "
Ambush,,ܟܡܸܐܢܵܐ,كمين 
Amendment,,"ܬܵܪܲܨܬܵܐ  ,  ܛܵܘܪܵܢܬܵܐ   ,   ܬܘ݂ܪܵܨܵܐ","تعديل  ,  تحسين "
Amends,,"ܚܠܲܦܬ݂ܵܐ  ,  ܚܘ݂ܠܵܦܵܐ",تَعَويض 
Amentia,,ܒܘܿܪܘ݂ܬ݂ܵܐ   ،   ܣܲܟ݂ܠܘ݂ܬ݂ܵܐ ,"بَلْاهة   ,   خَبَلْ   ,   جَهْل"
Amiable,,ܡܲܚܡܸܠܵܢܵܐ   ،   ܫܲܦܝܵܐ  ,"أنيس   ,   لَطيف "
Amid,,ܡܸܨܥܵܐ   ،   ܦܸܠܓܵܐ ,"وَسَط   ,   بين"
Amity,,"ܪܵܚܡܘ݂ܬ݂ܵܐ , ܐܲܘܝܘ݂ܬ݂ܵܐ  ، ܚܲܒ݂ܪܘ݂ܬ݂ܵܐ ، ܦܵܪܡܵܝܬܵܐ","صداقة  ,  أُلفة  ,  وئام  ,  تفاهم "
Amnesty,,"ܫܲܝܢܵܐ  ,  ܬܟ݂ܝ݂ܠܘ݂ܬ݂ܵܐ  -  ܫܘ݂ܒ݂ܩܵܢܵܐ  ,  ܦܘ݂ܚܵܠܵܐ","أمْن , طمأنينة  -  عفو , غفور"
Amphibious,,ܒܲܪ̈ܡܲܝܵܝܵܬ݂ܵܐ ,"برّمائيات   ,   برمائي"
Amplitude,,ܦܲܬ݂ܵܝܘ݂ܬ݂ܵܐ   ،   ܦܛܝ݂ܚܘ݂ܬ݂ܵܐ   ،   ܪܘܝ݂ܚܘ݂ܬ݂ܵܐ,"إتساع   ,   سِعة "
Ampulla,,ܫܝ݂ܫܬܵܐ,"قارورة ( عطر أو خمر أو زيت ) , قازوزة"
Amusement,,ܦܘ݂ܪܓܵܝܵܐ   ،   ܚܘ݂ܡܠܵܢܵܐ,"تسلية   ,   لهو "
Amylaceous,,ܢܸܫܵܝܵܐ   ،   ܢܸܫܵܝܵ̈ܬ݂ܵܐ ,"نَشَوي   ,   نَشَويات"
Amylum,,ܢܸܫܵܵܐ ,نشأ 
Anaesthetic,,ܡܲܫ݀ܢܝܵܢܵܐ,مُخَدِّر 
Analogous,,ܕܵܡܝܵܐ   ،   ܐܲܟ݂ܘܵܬ݂ܵܝܵܐ ,"مُشابه   ,   مُناظر"
Analysis,,"ܫܪܵܝܬܵܐ  ,  ܦܘ݂ܫܵܩܵܐ","تَحليلْ , إيضاح,تفسير"
Anchor,,ܡܲܪܣܵܐ,مِرساة 
Anchorite,,"ܕܲܝܪܵܝܵܐ  ,  ܪܲܒܵܢܵܐ","ناسك , زاهد "
Ancient,,"ܩܕܝ݂ܡܵܝܵܐ  ,  ܥܲܬܝ݂ܩܵܐ","قَديم , عتيق "
Angel,,ܡܲܠܲܐܟ݂ܵܐ,مَلاكْ
Anger,,"ܟܲܪܒܵܐ  ,  ܣ݀ܩܕܵܐ","غَضَبْ , إمتعاض"
Angle,,"ܙܵܘܝ݂ܬ݂ܵܐ  ,  ܓܘܿܢܝ݂ܬ݂ܵܐ  ,  ܩܘܿܪܢܝ݂ܬ݂ܵܐ",زاوية 
Anguish,,ܫܘ݂ܢܵܩܵܐ,"عَذابْ , ألَمْ"
Animal,,ܚܲܝܘܵܐ,حيوانْ
Animation,,"ܟܲܫܝ݂ܪܘ݂ܬ݂ܵܐ  ,  ܙܪܝ݂ܙܘ݂ܬ݂ܵܐ  ,  ܚܦܝ݂ܛܘ݂ܬ݂ܵܐ","نشاط , حيوية , سَعي"
Animosity,,"ܣܢܸܐܬܵܐ  ,  ܐܲܟܿܬܵܐ  ,  ܪܘ݂ܓ݂ܙܵܐ","بََغضٌ , حِقْدٌ "
Ankle,,ܐܘܿܪ݀ܟ݂ܬܵܐ ܕܐܲܩܠܵܐ,رُسْغ القدم 
Annalist,,"ܝܘ݂ܒܵܠܵܝܵܐ  ,  ܡܲܟ݂ܬ݂ܒ݂ܵܢܵܐ","مؤرخ ,  محاضر "
Annexment,,ܐܲܩܲܲܦܬ݂ܵܐ   ،   ܬܵܘܣܝ݂ܦܵܐ ,مُلحَقْ   
Annihilate,,ܐܵܒܹܕ݂ ، ܐܲܒ݂ܕܵܢܵܐ ، ܛܵܠܹܩ ، ܛܠܵܩܵܐ ، ܗܵܠܹܟܿ ، ܗܠܵܟܵܐ ، ܦܵܢܹܐ ، ܦܢܵܝܵܐ,"يُبطل  ,  يبيد  ,  يمحق  ,  يهلك  ,  يفني"
Annihilation,,"ܐܘܿܒܵܕܵܐ  ,  ܣܘ݂ܝܵܦܵܐ  ,  ܛܘ݂ܠܵܩܵܐ","إبطال  ,  إبادةْ   ,   إعدام   ,   إلغاء"
Announce,,"ܦܵܪܸܣ  ،  ܦܪܵܣܵܐ   ,  ܡܲܝܕܸܥ  ،  ܡܵܝܕܘܿܥܹܐ ، ܒܵܕܹܩ   ","يعلن  ,  يخبر  ,  يبلغ  ,   ينبأ  "
Announcement,,"ܡܲܘܕܥܵܢܘ݂ܬ݂ܵܐ   ,   ܒܘ݂ܕܵܩܵܐ","إعلانْْ    ,    إبلاغ"
Annoy,,"ܡܲܣܩܸܕ݂  ,  ܕܵܠܹܚ    ,   ܡܘ݂ܓܥܸܨܠܹܗ","يُزعج  ,  يضايق  ,    يُغضب"
Annoyance ,,ܡܲܣܩܵܕ݂ܬܵܐ  ،  ܡܥܝ݂ܩܵܢܘ݂ܬ݂ܵܐ  ،  ܡܐܲܠܨܵܢܘ݂ܬ݂ܵܐ ,"إزعاج   ,   مضايقة "
Annoying ,,ܡܥܝ݂ܩܵܢܵܐ  ،  ܡܲܠܙܵܢܵܐ  ،  ܡܐܲܠܨܵܢܵܐ  ،  ܠܙܝ݂ܙܵܐ ,"مُزعج   ,   مُضايق   ,  مُغضِب "
Annually,,"ܫܲܢ݉ܬܵܐܝ݂ܬ݂   ,   ܫܲܢ݉ܬܵܢܵܝܵܐ",سنويا 
Annul,,"ܒܵܛܹܠ  ،  ܡܒܵܛܹܠ  ،  ܒܛܵܠܵܐ  ,  ܫܵܪܹܐ ،  ܫܪܵܝܵܐ  ","يُلغي  ,  يبطل  ,  يُفصخ "
Annulment,,"ܒܘ݂ܛܵܠܵܐ   ,   ܦܣܵܩܵܐ   ,   ܒܘ݂ܛܠܵܢܵܐ  ،  ܠܚܵܝܵܐ ","إلغاء  ,   إبطالْ   ,   إفساخ"
Anodyne,,ܡܘ݂ܠܟܵܢܵܐ   ،   ܥܵܩܪܵܐ    ،   ܡܲܫܟܿܢܵܐ ,"عقّار   ,   مَسْكَن   ،   عقار مسكن"
Anomaly,,ܫܢܝ݂ܙܘ݂ܬ݂ܵܐ,"شذوذ   ,   إنحرافْ"
Answer,,ܦܘ݂ܢܵܝܵܐ  ،  ܥܘ݂ܢܵܝܵܐ  ،  ܥܸܢܝܵܢܵܐ   ،  ܓܝܵܒ݂ܵܐ ,"جَوابْ  ,  الجواب "
Ant,,ܫ݀ܟܘܵܢܬܵܐ,نَمْلة
Antagonist,,"ܕܲܠܩܘ݂ܒ݂ܠܵܐ  ,  ܣܲܩܘ݂ܒ݂ܠܵܐ","مُقاوِمٌ   ,  خَصْمٌ"
Antagonistic,,ܕܲܠܩܘ݂ܒ݂ܠܵܐ  ,"مُخاصِم   ,   معادٍ"
Antecedency ,,ܩܲܕܿܝ݂ܡܘ݂ܬ݂ܵܐ ,أسبقية 
Ante meridiem ,,ܩܕ݂ܵܡ ܛܲܗܪܵܐ  ,قبل الظهر 
Anthem,,"ܫܝ݂ܪܬܵܐ   ,   ܩܝ݂ܢܬܵܐ   ,  ܣܘܿܓ݂ܝ݂ܬ݂ܵܐ","نَشيدْ وطني, ترنيمة"
Anthropology,,ܝܘ݂ܠܦܵܢ (ܡܡܲܠܠܘ݂ܬ݂) ܐ݉ܢܵܫܵܐ ,علم الإنسان
Aperient,,ܡܲܫܪܝܵܢܵܐ   ،   ܡܲܪܟܚ݂ܵܢܵܐ ,"مُسَهّل   ,   مُلَيّن"
Aperture,,ܬܘ݂ܪܲܥܬ݂ܵܐ   -   ܒܸܙܥܵܐ  ،   ܢܸܩܒܵܐ  ،  ܒܲܙܵܐ  ,"فَتحة   -   ثُقب  ,   مَنفَذ "
Apology,,"ܫܘ݂ܒ݂ܩܵܢܵܐ   ,   ܦܘ݂ܚܵܠܵܐ","إعتذار  ,  أسَفَ  ,  تاب "
Apostate,,"ܟܵܦܘܿܪܵܐ   ,   ܣܵܪܘܿܒ݂ܵܐ","جاحِدْ  ,  مُلحدْ  ,  كافر"
Apostil,,ܐܲܩܲܦܬ݂݂ܵܐ  ،  ܢܘ݂ܗܵܪܵܐ   ،   ܣܸܦܵܐ ,"هامش  ,  حاشية  (الكتاب)"
Apothecary,,ܨܲܝܕܿܠܵܝܘ݂ܬ݂ܵܐ   ،   ܪܲܟܵܠܘ݂ܬ݂ܵܐ ,صيدلية 
Apparently,,ܒܲܪܵܐܝ݂ܬ݂   ،   ܓܲܠܝܵܐܝ݂ܬ݂   ،   ܒܲܪܵܝܵܐܝ݂ܬ݂,"ظاهرياً   ,   بوضوح"
Appearance,,"ܓܸܠܝܵܢܵܐ   ,   ܚܘ݂ܘܵܝܵܐ","ظُهور ,  بروز  ,  إطلالة"
Appendage,,"ܐܲܩܲܦܬ݂ܵܐ   ,   ܬܵܘܣܝ݂ܦܵܐ","مُلحَقْ  ,  إضافة  ,  تَذنيبْ"
Applause,,"ܛܪܵܦܵܐ   ,   ܢܩܵܫ ܟܲܦܵܐ",تَصفيقْ
Applicable,,"ܡܚܲܝܢܵܐ   ,   ܐܵܘܝܵܐ   ,   ܥܲܡܝ݂ܨܵܐ","مُطابقْ  ,  مُجانس  ,  مماثلْ"
Appreciate,,ܛܘ݂ܝܡܸܢܠܹܗ,"ثَمَّنَ  ,  قَدَّرَ"
Apple,,ܚܲܒܘ݂ܫܵܐ ، ܚܲܙܘ݂ܪܵܐ,تفاح
Appropriate,,"ܚܫܝ݂ܚܵܐ   ,   ܠܚܝ݂ܡܵܐ","مُناسبْ , لائقْ"
Approval,,"ܫܵܠܡܘ݂ܬ݂ܵܐ   ,   ܩܒܵܠܵܐ   ,   ܐܵܘܝܘ݂ܬ݂ܵܐ",قَبولْ
April ,,ܢܝ݂݂ܣܵܢ ,نيسان (إسم شهر) 
Apricot,,ܕܘ݂ܪܩܝ݂ܢܵܐ,مشمش 
Aptitude,,ܥܬܝ݂ܕܘ݂ܬ݂ܵܐ   ،   ܡܲܨܝܵܢܘ݂ܬ݂ܵܐ,"إستِعداد   ,   قابلية"
Arabian,,ܥܲܪܲܒܵܝܵܐ ,"عَرَبي   ,   العَرَبي"
Arcade,,"ܨܘ݂ܦܵܐ   ,   ܦܲܣܛܝ݂ܠܵܐ   ,   ܒ݀ܢܩܵܐ","رِواق   ,   دهليز "
Archaeologist ,,ܥܸܩܒ݂ܵܢܵܝܵܐ ,"الآثاري  ,  المختص بالآثار"
Archaeology,,ܝܘ݂ܠܦܵܢ ( ܡܲܠܠܘ݂ܬ݂ ) ܥܸܬܩܸ̈ܐ ܝܲܢ ܥܸܩ̈ܒ݂ܵܬ݂ܵܐ,علم الآثار 
Archer,,"ܫܵܕܘܿܝܵܐ   ,   ܕܵܪܝܵܢܵܐ    ( ܕܓܸܐܪܵܐ )","رامي السهام  ,   رامِ"
Architect,,ܐܲܪܕ݀ܟ݂ܠܵܐ,مهندس معماري  
Archives,,ܐܲܪܫܝ݂ܦ̮ܵܐ   ،  ܒܝ݂ܬ݂ ܥܘ݂ܗܕܵܢܹ̈ܐ   ،   ܪܫܝ݂ܦܵܐ ,"أرشيف   ,   الأرشيف"
Ardent,,ܛܲܢܵܢܵܐ   ،   ܬܲܙܝ݂ܙܵܐ ,"غَيور   ,   مُتَحَمّس "
Ardor ,,ܛܲܢܵܢܘ݂ܬ݂ܵܐ   ،   ܬܲܙܝ݂ܙܘ݂ܬ݂ܵܐ ,"غيرة   ,   حماسة "
Are,,ܐܵܪܲܐ,هَلْ
Arena,,ܡܲܪܗܛܵܐ، ܒܸܝܬ݂ ܪܲܕ݂ܝܵܐ,"ميدان  ,  مضمار "
Argue,,ܕܵܪܹܫ  ،  ܕܪܵܫܵܐ  ،   ܗܵܪܹܒ݂   ،   ܗܪܵܒ݂ܵܐ ,"يُناظر   ,   يجادل   "
Argument,,"ܬܲܚܘܝ݂ܬ݂ܵܐ   ,   ܣܵܗܕܘ݂ܬ݂ܵܐ  ,   ܥܸܠܬ݂ܵܐ    ","دليل  ,  حُجَّة  ,  برهان  "
Argumentation,,ܕܘ݂ܪܵܫܵܐ   ،  ܗܘܦܵܟ݂ ܚܘ݂ܫܵܒ̈ܐ  ،  ܥܘ݂ܩܵܒ݂ܵܐ ,"مناقشة , مناظرة"
Arid,,"ܒܪܝ݂ܙܵܐ   ,   ܝܲܒܿܝ݂ܫܵܐ","قاحلْ ,  جافْ  ,  مُقْفِرْ"
Arithmetic,,ܝܘ݂ܠܦܵܢ ( ܡܲܠܠܘ݂ܬ݂ ) ܡܲܢܵܝܘ݂ܬ݂ܵܐ,علم الحساب 
Arm,,ܙܵܝܹܢ  ،  ܙܝܵܢܵܐ   ،   ܟܲܟܒܸܢ  ،  ܟܲܟܒܘܿܢܹܐ ,"يُسلّح  ,  يتسلّح  ,  يتزود بالسلاح"
Armistice,,"ܬܲܫܠܝ݂ܬ݂ܵܐ   ,   ܫܲܝܢܵܐ",هُدنة 
Armour,,"ܙܲܝܢܵܐ   ,   ܟܲܟܵܐ   ,   ܬܲܠܒܲܫܬܵܐ   ,   ܟ̰ܲܟܵܐ",سلاح 
Armpit,,ܫܚܵܬ݂ܵܐ   ،   ܫܚܵܦܵܐ ,"إبْط   ,   الإبْط"
Army,,"ܓܲܝܣܵܐ   ,   ܥܲܣܟܲܪ",جَيش 
Anchor ,,ܡܲܪܣܵܐ  ،  ܐܹܘܩܝ݂ܢܵܐ ,"مِرساة  ,  هَوْجَل (مرساة السفينة)"
Anchorage,,ܠܡܹܐܢܵܐ  ,"مِرسى  ,  ميناء  ,  مَرْفأ"
Around,,"ܚܕܵܪ   ,   ܚܕ݂ܵܪܲܝ   ,   ܚܘ݂ܕ݂ܪܵܐ",حَوْلَ
Arouse,,ܡܘ݂ܪܥܸܫܠܹܗ    -    ܣܵܛܹܪ  ،  ܣܛܵܪܵܐ  ،  ܡܲܣܛܹܪ  ,"أيقَظَ  , أصْحى    -    تحاشى  ,  تَجَنَبَ"
Arrange,,"ܣܵܕܹܪ ، ܣܕ݂ܵܪܵܐ , ܡܲܣܕ݂ܸܪ ،  ܡܛܵܟܹܣ ، ܡܛܲܟܿܘܿܣܹܐ , ܬܲܓܿܒܸܪ ، ܬܲܟܒܿܘܿܪܹܐ ","يرتّب  ,   يُنسّق   ,   يُنظّم "
Arrangement,,"ܣܕܲܪܬܵܐ   ,   ܬܲܓܒܲܪܬܵܐ   ,   ܡܕܲܒܪܵܢܘ݂ܬ݂ܵܐ","تَرتيبْ ,  تَدبير  ,  تنسيق"
Arrest,,"ܡܲܟܠܲܝܬܵܐ ,  ܡܲܟ݂ܠܝܵܢܘ݂ܬ݂ܵܐ   -  ܚܵܓܹܪ ، ܚܓܵܪܵܐ ، ܟܵܠܹܐ ، ܟܠܵܝܵܐ ، ܡܲܟܠܸܐ ","توقيف ,  إعتقال    -   يوقِف  ,  يَعتقل"
Arrival,,"ܡܘ݂ܛܵܝܵܐ   ,   ܡܘ݂ܢܵܥܵܐ  ،  ܡܛܵܝܵܐ  ،  ܡܹܐܬ݂ܝܵܐ ","وصول  ,  قِدوم   ,   بلوغ "
Arrive,,"ܡܵܛܹܐ  ،  ܡܛܵܝܵܐ ,  ܫܵܪܹܟ݂  ،  ܫܪܵܟ݂ܵܐ","يصل   ,   يجيئ   ,   يَقْدِم"
Arrogance,,"ܫܲܒ݂ܗܲܪܬܵܐ   ,   ܪܵܡܘ݂ܬ݂ܵܐ   ,   ܫܘ݂ܩܵܠܵܐ  ,   ܛܪܘܿܢܵܐ","غَطْرَسة  ,  تَكَبُّرْ  ,  تَجَبُّر"
Arrogant,,"ܫܲܒ݂ܗܪܵܢܵܐ   ,   ܡܫܲܩܠܵܐ   ,   ܚܬܝ݂ܪܵܐ","مُتَجَبّر  ,  مُتَكَبّر"
Arrow,,ܓܸܐܪܵܐ,"سَهْمٌ  ,  نِشابْ "
Arroyo,,ܐܵܡܝ݂ܫܵܐ  ،  ܢܲܗܪܘܿܢܵܐ    -   ܩܵܒ݂ܝ݂ܬ݂ܵܐ ,"غدير ،  نُهَيّر , سَيْل / مُستنقع    -   حَوْض "
Art,,"ܐܲܡܢܵܐ   ,   ܐܘ݂ܡܵܢܘ݂ܬ݂ܵܐ",فَنْ 
Artery,,ܫ݀ܪܝܵܢܵܐ,شريانْ
Ascendency,,ܫܲܠܝ݂ܛܘ݂ܬ݂ܵܐ ,"سَطْوة  ,   هيمنة   ,  حُكْم  "
Ascent,,ܣܘ݂ܠܵܩܵܐ   ،   ܐܣܵܩܵܐ   ،   ܥܠܵܝܵܐ,"صِعود   ,   تَسَلّق "
Ascetic,,"ܕܲܝܪܵܝܵܐ   ,   ܪܲܒܵܢܵܐ","ناسكْ   ,   زاهِدْ "
Ash,,ܩܸܟܡܵܐ ,رَماد 
Ashamed,,"ܒܗܝ݂ܬܵܐ   ,   ܢܟ݂ܝ݂ܦܵܐ   ،   ܟܘܝ݂ܙܵܐ ","خَجلان  ,   مستحي "
Ask,,ܒܵܩܹܪ  ، ܒܵܩܘܿܪܹܐ ، ܫܵܐܹܠ ، ܫܐܵܠܵܐ  ، ܥܵܪܹܦ  ،  ܥܪܵܦܵܐ ,"يسأل  ,  يطلب  ,  يلتمس   "
Aspect,,"ܚ݀ܙܘܵܐ   ,   ܨܘ݂ܪܬܵܐ   ,   ܟܘ݂ܝܵܢܵܐ","مَنظَرْ  ,  هيئة "
Asperity,,"ܚܲܙܘ݂ܦܘ݂ܬ݂ܵܐ   ,   ܚܲܪܘ݂ܣܘ݂ܬ݂ܵܐ   ,   ܩܲܫܝܘ݂ܬ݂ܵܐ","خشونة  ,  غلاظة   ,   قسوة"
Asphalt,,ܩܝ݂ܪܵܐ   ،   ܙܸܦ̮ܬܵܐ   ،   ܩܘ݂ܦܪܵܐ,"قير   ,   زِفت   ,   أسفُلت"
Asphyxia,,"ܚܘ݂ܢܵܩܵܐ   ,   ܙܪܘ݂ܕ݂ܝܵܐ",إختناقْ
Aspirant ,,ܚܲܘܵܪܵܐ  ،  ܚܲܘܪܵܢܵܐ  ،  ܡܸܬ݂ܒܲܠܩܵܢܵܐ ,"طَموح   ,  طَمّاح   ,   الطَّموح "
Aspiration,,ܣܘ݂ܟܵܝܵܐ  ،  ܚܲܘܪܵܢܘ݂ܬ݂ܵܐ   ،  ܫܘ݂ܠܫܵܠܵܐ ،  ܡܸܬ݂ܒܲܠܩܵܢܘ݂ܬ݂ܵܐ ,"طُموح  ,  الطُموح "
Assail,,ܨܵܦܹܚ  ،  ܨܦܵܚܵܐ   ،  ܟܵܒܹܫ    ،  ܟܒ݂ܵܫܵܐ ,"يهاجم  ,  يغير  ,  يقتحم  "
Assailant,,"ܨܲܦܵܚܵܐ ،  ܨܵܦܘܿܚܵܐ  , ܚܲܒܵܫܵܐ ، ܣܲܥܵܝܵܐ ،  ܢܵܫܘܿܪܵܐ","مُهاجِم ,  مُقْتَحِم  "
Assassination,,ܢܬܸ݂ܝ݂ܟ݂ܘ݂ܬ݂ܵܐ   ،   ܢܸܬ݂ܟ݂ܵܐ   ،   ܩܸܛܠܵܐ ,"إغتيال   ,   قَتِلْ"
Assay ,,ܢܣܹܵܐ  ،  ܢܸܣܝܵܢܵܐ  ،  ܨܲܚܨܸܐ  ،  ܚܪܵܣܵܐ ،  ܚܵܙܹܙ,"يجرب   ,   يختبر "
Assembly,,"ܟܢܘ݂ܫܝܵܐ   ,   ܡܵܘܬܒ݂ܵܐ","مَجْمَع  ,  مَجْلِس   ,   حَشْد"
Assertion,,ܡܫܵܪܲܪܬܵܐ   ،   ܚܲܬܝ݂ܬܘ݂ܬ݂ܵܐ ,"توكيد   ,   تأكيد   ,   تَيَقّن"
Assess,,"ܛܘ݂ܝܡܸܢܠܹܗ   ,   ܐܲܛܐܸܒ݂   ,   ܛܲܝܸܡ","قّدَّرَ  ,   ثَمَّنَ"
Assessment,,ܛܲܝܡܲܢܬܵܐ,تّثمين
Assiduity,,ܐܲܟ݂ܝ݂ܦܘ݂ܬ݂ܵܐ   ،   ܟܲܫܝ݂ܪܘܬ݂ܵܐ ,"مثابرة   ,   إجتهاد   ,   مواطبة"
Assiduous,,ܐܲܟ݂ܵܝ݂ܦܵܐ   ،   ܟܲܫܝ݂ܪܵܐ,"مثابر   ,  مُجتهد   ,   مواظب"
Assist,,ܥܵܝܹܢ ، ܥܝܵܢܵܐ ،  ܥܵܕܹܪ ، ܥܕ݂ܵܪܵܐ ، ܗܵܝܹܪ ، ܡܗܵܝܹܪ ، ܗܲܝܘܿܪܹܐ,"يساعد  ,  يعين  ,  يغيث  ,  ينجد "
